Author,Name,Date,Img name,Description
Maximilian Voloshin,Cloud Halos,1928,cloud_halos,"Maximilian Voloshin is a poet who wrote like an artist and an artist who wrote like a poet. Voloshin the artist is connected with the land of the Crimea and Koktebel, its ancient complex relief, with powerful elements. He painted watercolors with Crimean landscapes from memory - they do not have geographical accuracy, this accuracy is geological, philosophical"
Ivan Marchuk,Tenderness,1984,tenderness,"Is the author of these masterpieces also Ukrainian? This question is often asked by art historians and critics who first saw the work of Ivan Marchuk. However, connoisseurs unmistakably recognise his creations among the paintings of other great Ukrainian artists. According to the British edition of The Daily Telegraph, in 2007 Marchuk was included in the list of 100 geniuses of our time."
Mikhaylo Andriinko-Nechitaylo,Composition,1924,composition,"Many great Ukrainian artists, especially after the 1917 revolution, worked abroad. Therefore, the work of “Michel Andreenko” is better known to Parisians than to Ukrainian compatriots. Scenography was a favourite hobby and the main source of income of the emigrant. Art critics consider him a great French modernist artist with Ukrainian roots."
Mikhaylo Andriinko-Nechitaylo,Landscape B,1960,landscape_b,"Many great Ukrainian artists, especially after the 1917 revolution, worked abroad. Therefore, the work of “Michel Andreenko” is better known to Parisians than to Ukrainian compatriots. Scenography was a favourite hobby and the main source of income of the emigrant. Art critics consider him a great French modernist artist with Ukrainian roots."
Mikhaylo Boychuk,Prophet Elijah,1913,prophet-elijah-1913,"A prominent representative of monumental painting was born in Western Ukraine, graduated from the Munich and Krakow Academy of Arts, giving birth to a new trend called “boychukism”. He had many students and followers, but the greatest interest is caused by his creative “handwriting” based on national traditions. This is how he portrayed the biblical prophet Elijah, who, according to the books of the Old Testament, was fed by crows in a desolate place."
Oleksandr Bohomazov,Sawyers,1929,Sawyers_Alexander_Bogomazov,"The famous Ukrainian artist Oleksandr Bohomazov practiced in different ways, and this is how the famous cubo-futurist saw “Cityscape”. He is rightly called “Ukrainian Picasso”, but his work has been largely lost and forgotten. But even what has survived to this day gives an idea of ​​how the brilliant “descendant of godmazes” owned the palette."
Oleksandr Bohomazov,Street on Podil,1912,Street_on_Podil,"The very name of the famous Ukrainian artist Oleksandr Bohomazov speaks of creative genetics. “Bogomaz” were once called icon painters and masters of wall painting in Orthodox churches. In what generation it began, no one knows, but his talent and craving for art, which was noticed in childhood, is obvious. He practiced in different ways, and this is how the famous cubo-futurist saw “Cityscape”. He is rightly called “Ukrainian Picasso”, but his work has been largely lost and forgotten. But even what has survived to this day gives an idea of ​​how the brilliant “descendant of godmazes” owned the palette."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Alexander Roitburd,Goodbye Caravaggio,2008,GoodbyeCaravaggio,"The paintings by Alexander Roitburd are practically always mythological and archetypical. Paying attention to the different facets of his extremely energetic and creative character—in video, graphics, installations or Kulturtrager—Roitburd never betrayed his calling and gift of a painter. His new paintings sometimes make believe that he departs from his enthusiasm about mythology, abundance of quotations and metaphysical sayings...And sometimes, just the opposite—he would defiantly ‘slip back to his old ways'...His color scheme might be brighter or more ascetic, but his painting manner and his signature daub remain unfailingly recognizable."
Vasily Krichevsky,Crimean landscape,1951,vasyl-hryhorovych-krychevsky-crimean-landscape,"Vasily Krichevsky was an Ukrainian artist who was born in 1873. In 1917 Krichevsky was one of the founders of the Ukrainian Academy of Arts (since 1924 — Kiev Fine Art Institute), where he became a professor, and in 1917–1941 he delivered lectures on architecture and composition. Krichevsky created and designed the symbol of the Ukrainian People’s Republic — Trident — by the order of the Central Rada."
David Burliuk,Time,1919,time,This picture was created during the hard times of the Civil War in the territory of the collapsed Russian Empire.  It clearly conveys the feeling of inevitably and rapidly approaching chaos.
Kazimir Malevich,Black Square,1915,square,"Black Square is an iconic painting by Kazimir Malevich. The work is frequently invoked by critics, historians, curators, and artists as the ""zero point of painting"", referring to the painting's historical significance as a paraphrase of a number of comments Malevich made about The Black Square in letters to his colleagues and dealers."
Kazimir Malevich,Suprematist composition,1916,illustration-kasimir-malevitch_composition-suprematiste,"A major artist of early abstraction, Malevitch was the founder of Suprematism, a radical form of abstraction which he launched during the First World War. Malevitch's works present a total form of abstraction, freed of any figurative depictions. His painting had turned into pure sensation and sensitivity, thus becoming an autonomous art detached from its environment or external reality."
Anatoliy Kryvolap,"Horse, Evening",2012,horse,"The works of this series is the shortest yet most famous thanks to extremely successful auctioned. The auction Phillips painting ""Horse. Night ""in 2011 was sold for $ 124.343,"" Horse. Evening ""in 2003 - for $ 186.200, making Kryvolap most successful among modern Ukrainian artists. The series consists of 15 works."
Mykola Ge,Achilles and the body of Patroclus,1855,achilles-and-the-body-of-patroclus,"In this work, he portrayed the mythological plot of Homer’s Iliad. The images in the picture are depicted with an incredibly clear portrait. Each of them, the artist clearly prescribed not only the features of the face and body, but also each fold of clothing."
Heorhii Narbut,Self-Portrait with St. George,1917,5-Selfportrait-with-St_George_CMYK,"Narbut was the most important Ukrainian graphic designer of the 20th century, and one of the finest graphic artists in the world. His name is fixed in major encyclopedias, on Ukraine’s postage stamps issued in his honor, and in his significant legacy imprinted on Ukraine’s graphic artists to the present time."
Yevgeny Leshchenko,The World of a Cat,1990,catWorld," Yevgeny Leshchenko, how he say about himself, is founder of direction ‘’Paradise art’’, Merited Artist of Ukraine, winner of the International Biennale 1998. Retreating to his quiet home, away from the bustle and hustle capital, Leshchenko write his idyllic, serene harmony full picture, which tries to embody the utopian dream of a life in tandem with nature, away from modern society. "
Sergey Shishko,European Square,1949,europeansquare,"Sergei Shishko is an acclaimed Soviet Ukrainian painter, an honorary citizen of Kyiv, a classic of Ukrainian landscape and a master of still life. First and foremost, the artist has devoted his lyrical scenes, made in an impressionistic manner, to Kyiv."
Oleksandr Bohomazov,Street scene. Khreshchatyk,1913,bogomazov,"Oleksandr Bohomazov was a Ukrainian painter, known artist and modern art theoretician of the Russian Avant-garde (historically the term ""Russian Avant-garde"" refers to the art of all countries which were parts of Russia/USSR in the beginning of 20th century). "
Lyubov Panchenko,In Starry Space,1974,panchenkko,"Lyubov Panchenko was part of the Sixtiers, a movement dissident of intellectuals in the Soviet Union during the 1960s. This artist stood out because she raised funds to help political prisoners convicted of creating anti-Soviet propaganda at the time. As a member of the Ukrainian Women's Union, she always fought for justice and freedom, using his works of art as the main vehicle. Because of this, Lyubov Panchenko's paintings, in which bright colors  always dominated at a time when this was unthinkable, are crucial to the history of Ukraine. Ukrainian Artist, Lyubov Panchenko who opposed the KGB has starved to death following the Russian occupation of her town Buchi, aged 85."
